card_id;cardName;category_id;categoryName;user_id
17;Почта;3;hub;1der24li5yrm4d
18;Трансляции;3;hub;1der24li5yrm4d
19;Мини-программа;3;hub;1der24li5yrm4d
20;Сервисы;2;tapBar;1der24li5yrm4d
21;Главная (лента новостей);2;tapBar;1der24li5yrm4d
22;Мой профиль;3;hub;1der24li5yrm4d
1;Клипы (короткие видео);2;tapBar;1der24li60c19h
2;Музыка;2;tapBar;1der24li60c19h
3;Видео;3;hub;1der24li60c19h
4;Сообщества;3;hub;1der24li60c19h
5;Мессенджер;2;tapBar;1der24li60c19h
6;Закладки;1;menu;1der24li60c19h
7;Файлы;3;hub;1der24li60c19h
8;VK Pay;1;menu;1der24li60c19h
9;Настройки;1;menu;1der24li60c19h
10;Управление VK ID;1;menu;1der24li60c19h
11;Друзья;3;hub;1der24li60c19h
12;Игры (категории игр);3;hub;1der24li60c19h
13;Стикеры (каталог стикеров);3;hub;1der24li60c19h
14;Звонки;2;tapBar;1der24li60c19h
15;VK NFT;3;hub;1der24li60c19h
16;Реклама;3;hub;1der24li60c19h
17;Почта;3;hub;1der24li60c19h
18;Трансляции;3;hub;1der24li60c19h
19;Мини-программа;3;hub;1der24li60c19h
20;Сервисы;3;hub;1der24li60c19h
21;Главная (лента новостей);3;hub;1der24li60c19h
22;Мой профиль;2;tapBar;1der24li60c19h
1;Клипы (короткие видео);1;menu;1lxyie24li5iqzc
2;Музыка;2;tapBar;1lxyie24li5iqzc
3;Видео;3;hub;1lxyie24li5iqzc
4;Сообщества;3;hub;1lxyie24li5iqzc
5;Мессенджер;2;tapBar;1lxyie24li5iqzc
6;Закладки;1;menu;1lxyie24li5iqzc
7;Файлы;3;hub;1lxyie24li5iqzc
8;VK Pay;3;hub;1lxyie24li5iqzc
9;Настройки;2;tapBar;1lxyie24li5iqzc
10;Управление VK ID;1;menu;1lxyie24li5iqzc
11;Друзья;2;tapBar;1lxyie24li5iqzc
12;Игры (категории игр);1;menu;1lxyie24li5iqzc
13;Стикеры (каталог стикеров);1;menu;1lxyie24li5iqzc
14;Звонки;3;hub;1lxyie24li5iqzc
15;VK NFT;1;menu;1lxyie24li5iqzc
16;Реклама;1;menu;1lxyie24li5iqzc
17;Почта;3;hub;1lxyie24li5iqzc
18;Трансляции;1;menu;1lxyie24li5iqzc
19;Мини-программа;3;hub;1lxyie24li5iqzc
20;Сервисы;1;menu;1lxyie24li5iqzc
21;Главная (лента новостей);3;hub;1lxyie24li5iqzc
22;Мой профиль;2;tapBar;1lxyie24li5iqzc
1;Клипы (короткие видео);1;menu;1lxyie24li60fxvr
2;Музыка;2;tapBar;1lxyie24li60fxvr
3;Видео;1;menu;1lxyie24li60fxvr
4;Сообщества;2;tapBar;1lxyie24li60fxvr
5;Мессенджер;2;tapBar;1lxyie24li60fxvr
6;Закладки;1;menu;1lxyie24li60fxvr
7;Файлы;3;hub;1lxyie24li60fxvr
8;VK Pay;3;hub;1lxyie24li60fxvr
9;Настройки;1;menu;1lxyie24li60fxvr
10;Управление VK ID;3;hub;1lxyie24li60fxvr
11;Друзья;2;tapBar;1lxyie24li60fxvr
12;Игры (категории игр);3;hub;1lxyie24li60fxvr
13;Стикеры (каталог стикеров);3;hub;1lxyie24li60fxvr
14;Звонки;1;menu;1lxyie24li60fxvr
15;VK NFT;3;hub;1lxyie24li60fxvr
16;Реклама;3;hub;1lxyie24li60fxvr
17;Почта;3;hub;1lxyie24li60fxvr
18;Трансляции;1;menu;1lxyie24li60fxvr
19;Мини-программа;1;menu;1lxyie24li60fxvr
20;Сервисы;1;menu;1lxyie24li60fxvr
21;Главная (лента новостей);1;menu;1lxyie24li60fxvr
22;Мой профиль;2;tapBar;1lxyie24li60fxvr
1;Клипы (короткие видео);3;hub;2swr5124li8pqv3t
2;Музыка;3;hub;2swr5124li8pqv3t
3;Видео;3;hub;2swr5124li8pqv3t
4;Сообщества;2;tapBar;2swr5124li8pqv3t
5;Мессенджер;2;tapBar;2swr5124li8pqv3t
6;Закладки;1;menu;2swr5124li8pqv3t
7;Файлы;1;menu;2swr5124li8pqv3t
8;VK Pay;3;hub;2swr5124li8pqv3t
9;Настройки;1;menu;2swr5124li8pqv3t
10;Управление VK ID;1;menu;2swr5124li8pqv3t
11;Друзья;2;tapBar;2swr5124li8pqv3t
12;Игры (категории игр);3;hub;2swr5124li8pqv3t
13;Стикеры (каталог стикеров);3;hub;2swr5124li8pqv3t
14;Звонки;3;hub;2swr5124li8pqv3t
15;VK NFT;3;hub;2swr5124li8pqv3t
16;Реклама;3;hub;2swr5124li8pqv3t
17;Почта;3;hub;2swr5124li8pqv3t
18;Трансляции;3;hub;2swr5124li8pqv3t
19;Мини-программа;3;hub;2swr5124li8pqv3t
20;Сервисы;1;menu;2swr5124li8pqv3t
21;Главная (лента новостей);2;tapBar;2swr5124li8pqv3t
22;Мой профиль;2;tapBar;2swr5124li8pqv3t
1;Клипы (короткие видео);1;menu;2swr5124li969ggf
2;Музыка;3;hub;2swr5124li969ggf
3;Видео;3;hub;2swr5124li969ggf
4;Сообщества;3;hub;2swr5124li969ggf
5;Мессенджер;2;tapBar;2swr5124li969ggf
6;Закладки;2;tapBar;2swr5124li969ggf
7;Файлы;3;hub;2swr5124li969ggf
8;VK Pay;1;menu;2swr5124li969ggf
9;Настройки;2;tapBar;2swr5124li969ggf
10;Управление VK ID;1;menu;2swr5124li969ggf
11;Друзья;2;tapBar;2swr5124li969ggf
12;Игры (категории игр);1;menu;2swr5124li969ggf
13;Стикеры (каталог стикеров);3;hub;2swr5124li969ggf
14;Звонки;3;hub;2swr5124li969ggf
15;VK NFT;3;hub;2swr5124li969ggf
16;Реклама;1;menu;2swr5124li969ggf
17;Почта;1;menu;2swr5124li969ggf
18;Трансляции;1;menu;2swr5124li969ggf
19;Мини-программа;1;menu;2swr5124li969ggf
20;Сервисы;1;menu;2swr5124li969ggf
21;Главная (лента новостей);2;tapBar;2swr5124li969ggf
22;Мой профиль;2;tapBar;2swr5124li969ggf
1;Клипы (короткие видео);2;tapBar;2swr5124li9cnhx
2;Музыка;2;tapBar;2swr5124li9cnhx
3;Видео;3;hub;2swr5124li9cnhx
4;Сообщества;3;hub;2swr5124li9cnhx
5;Мессенджер;2;tapBar;2swr5124li9cnhx
6;Закладки;1;menu;2swr5124li9cnhx
7;Файлы;1;menu;2swr5124li9cnhx
8;VK Pay;1;menu;2swr5124li9cnhx
9;Настройки;3;hub;2swr5124li9cnhx
10;Управление VK ID;1;menu;2swr5124li9cnhx
11;Друзья;3;hub;2swr5124li9cnhx
12;Игры (категории игр);3;hub;2swr5124li9cnhx
13;Стикеры (каталог стикеров);3;hub;2swr5124li9cnhx
14;Звонки;3;hub;2swr5124li9cnhx
15;VK NFT;1;menu;2swr5124li9cnhx
16;Реклама;3;hub;2swr5124li9cnhx
17;Почта;3;hub;2swr5124li9cnhx
18;Трансляции;3;hub;2swr5124li9cnhx
19;Мини-программа;2;tapBar;2swr5124li9cnhx
20;Сервисы;2;tapBar;2swr5124li9cnhx
21;Главная (лента новостей);3;hub;2swr5124li9cnhx
22;Мой профиль;3;hub;2swr5124li9cnhx
1;Клипы (короткие видео);3;hub;4d24li9lggiy
2;Музыка;3;hub;4d24li9lggiy
3;Видео;3;hub;4d24li9lggiy
4;Сообщества;3;hub;4d24li9lggiy
5;Мессенджер;2;tapBar;4d24li9lggiy
6;Закладки;3;hub;4d24li9lggiy
7;Файлы;3;hub;4d24li9lggiy
8;VK Pay;1;menu;4d24li9lggiy
9;Настройки;1;menu;4d24li9lggiy
10;Управление VK ID;1;menu;4d24li9lggiy
11;Друзья;3;hub;4d24li9lggiy
12;Игры (категории игр);3;hub;4d24li9lggiy
13;Стикеры (каталог стикеров);3;hub;4d24li9lggiy
14;Звонки;3;hub;4d24li9lggiy
15;VK NFT;2;tapBar;4d24li9lggiy
16;Реклама;1;menu;4d24li9lggiy
17;Почта;3;hub;4d24li9lggiy
18;Трансляции;3;hub;4d24li9lggiy
19;Мини-программа;3;hub;4d24li9lggiy
20;Сервисы;2;tapBar;4d24li9lggiy
21;Главная (лента новостей);2;tapBar;4d24li9lggiy
22;Мой профиль;2;tapBar;4d24li9lggiy
1;Клипы (короткие видео);3;hub;4zw24licdv7qm
2;Музыка;2;tapBar;4zw24licdv7qm
3;Видео;2;tapBar;4zw24licdv7qm
4;Сообщества;3;hub;4zw24licdv7qm
5;Мессенджер;2;tapBar;4zw24licdv7qm
6;Закладки;3;hub;4zw24licdv7qm
7;Файлы;3;hub;4zw24licdv7qm
8;VK Pay;1;menu;4zw24licdv7qm
9;Настройки;3;hub;4zw24licdv7qm
10;Управление VK ID;1;menu;4zw24licdv7qm
11;Друзья;3;hub;4zw24licdv7qm
12;Игры (категории игр);3;hub;4zw24licdv7qm
13;Стикеры (каталог стикеров);3;hub;4zw24licdv7qm
14;Звонки;3;hub;4zw24licdv7qm
15;VK NFT;1;menu;4zw24licdv7qm
16;Реклама;3;hub;4zw24licdv7qm
17;Почта;3;hub;4zw24licdv7qm
18;Трансляции;3;hub;4zw24licdv7qm
19;Мини-программа;3;hub;4zw24licdv7qm
20;Сервисы;2;tapBar;4zw24licdv7qm
21;Главная (лента новостей);2;tapBar;4zw24licdv7qm
22;Мой профиль;3;hub;4zw24licdv7qm
1;Клипы (короткие видео);2;tapBar;5g4x1d24li4s2wds
2;Музыка;2;tapBar;5g4x1d24li4s2wds
3;Видео;3;hub;5g4x1d24li4s2wds
4;Сообщества;3;hub;5g4x1d24li4s2wds
5;Мессенджер;2;tapBar;5g4x1d24li4s2wds
6;Закладки;1;menu;5g4x1d24li4s2wds
7;Файлы;1;menu;5g4x1d24li4s2wds
8;VK Pay;3;hub;5g4x1d24li4s2wds
9;Настройки;1;menu;5g4x1d24li4s2wds
10;Управление VK ID;1;menu;5g4x1d24li4s2wds
11;Друзья;1;menu;5g4x1d24li4s2wds
